"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 13:24:46 GMT 2021","Mon Jul 26 13:25:46 GMT 2021","59676","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Mon Jul 26 13:26:10 GMT 2021","Mon Jul 26 13:26:38 GMT 2021","27989","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 13:25:46 GMT 2021","Mon Jul 26 13:26:10 GMT 2021","24372","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 13:27:14 GMT 2021","Mon Jul 26 13:27:51 GMT 2021","36200","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 13:26:55 GMT 2021","Mon Jul 26 13:27:14 GMT 2021","19077","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Mon Jul 26 13:24:14 GMT 2021","Mon Jul 26 13:24:46 GMT 2021","32502","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 13:26:38 GMT 2021","Mon Jul 26 13:26:55 GMT 2021","16948","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 13:27:51 GMT 2021","Mon Jul 26 13:28:46 GMT 2021","54861","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
