"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 19:42:57 GMT 2021","Sun Jul 25 19:43:06 GMT 2021","8973","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Sun Jul 25 19:42:38 GMT 2021","Sun Jul 25 19:42:44 GMT 2021","5729","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 19:42:32 GMT 2021","Sun Jul 25 19:42:38 GMT 2021","6666","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 19:43:20 GMT 2021","Sun Jul 25 19:43:32 GMT 2021","11921","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Sun Jul 25 19:42:50 GMT 2021","Sun Jul 25 19:42:57 GMT 2021","7252","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"broken","Sun Jul 25 19:42:25 GMT 2021","Sun Jul 25 19:42:32 GMT 2021","7042","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Sun Jul 25 19:42:44 GMT 2021","Sun Jul 25 19:42:50 GMT 2021","5611","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Sun Jul 25 19:43:06 GMT 2021","Sun Jul 25 19:43:20 GMT 2021","13970","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
