"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 20:44:43 GMT 2021","Sun Jul 25 20:45:45 GMT 2021","61780","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Sun Jul 25 20:45:45 GMT 2021","Sun Jul 25 20:46:10 GMT 2021","25519","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 20:46:48 GMT 2021","Sun Jul 25 20:47:04 GMT 2021","16916","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 20:47:23 GMT 2021","Sun Jul 25 20:47:58 GMT 2021","35245","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Sun Jul 25 20:47:04 GMT 2021","Sun Jul 25 20:47:23 GMT 2021","18111","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Sun Jul 25 20:46:10 GMT 2021","Sun Jul 25 20:46:48 GMT 2021","37470","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Sun Jul 25 20:47:58 GMT 2021","Sun Jul 25 20:48:52 GMT 2021","54360","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Sun Jul 25 20:44:23 GMT 2021","Sun Jul 25 20:44:43 GMT 2021","19668","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
