"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 06:14:44 GMT 2021","Mon Jul 26 06:15:45 GMT 2021","60670","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 06:16:10 GMT 2021","Mon Jul 26 06:16:47 GMT 2021","36535","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 06:17:04 GMT 2021","Mon Jul 26 06:17:23 GMT 2021","19152","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 06:14:32 GMT 2021","Mon Jul 26 06:14:44 GMT 2021","12583","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Mon Jul 26 06:15:45 GMT 2021","Mon Jul 26 06:16:10 GMT 2021","25448","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 06:17:23 GMT 2021","Mon Jul 26 06:17:59 GMT 2021","36280","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Mon Jul 26 06:16:47 GMT 2021","Mon Jul 26 06:17:04 GMT 2021","16993","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 06:17:59 GMT 2021","Mon Jul 26 06:18:55 GMT 2021","55147","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
