"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 19:54:21 GMT 2021","Mon Jul 26 19:54:59 GMT 2021","37722","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 19:55:27 GMT 2021","Mon Jul 26 19:55:47 GMT 2021","19406","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 19:52:42 GMT 2021","Mon Jul 26 19:52:55 GMT 2021","12779","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Mon Jul 26 19:54:59 GMT 2021","Mon Jul 26 19:55:27 GMT 2021","28072","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 19:53:56 GMT 2021","Mon Jul 26 19:54:21 GMT 2021","25561","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 19:52:55 GMT 2021","Mon Jul 26 19:53:56 GMT 2021","60979","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 19:55:47 GMT 2021","Mon Jul 26 19:56:23 GMT 2021","36420","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 19:56:23 GMT 2021","Mon Jul 26 19:57:18 GMT 2021","55259","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
