"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 05 12:44:22 GMT 2021","Thu Aug 05 12:45:23 GMT 2021","60223","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Thu Aug 05 12:43:48 GMT 2021","Thu Aug 05 12:44:22 GMT 2021","34865","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"failed","Thu Aug 05 12:46:09 GMT 2021","Thu Aug 05 12:46:33 GMT 2021","23761","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Thu Aug 05 12:47:20 GMT 2021","Thu Aug 05 12:48:05 GMT 2021","45151","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Thu Aug 05 12:45:23 GMT 2021","Thu Aug 05 12:45:44 GMT 2021","21577","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Thu Aug 05 12:46:33 GMT 2021","Thu Aug 05 12:46:48 GMT 2021","15240","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Thu Aug 05 12:46:48 GMT 2021","Thu Aug 05 12:47:20 GMT 2021","31294","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Thu Aug 05 12:45:44 GMT 2021","Thu Aug 05 12:46:09 GMT 2021","25024","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
