"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 06:29:15 GMT 2021","Mon Jul 26 06:29:32 GMT 2021","16973","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 06:29:56 GMT 2021","Mon Jul 26 06:30:17 GMT 2021","20901","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Mon Jul 26 06:28:08 GMT 2021","Mon Jul 26 06:28:19 GMT 2021","11553","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Mon Jul 26 06:27:51 GMT 2021","Mon Jul 26 06:28:07 GMT 2021","16783","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 06:28:59 GMT 2021","Mon Jul 26 06:29:15 GMT 2021","16014","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 06:28:19 GMT 2021","Mon Jul 26 06:28:41 GMT 2021","21950","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Mon Jul 26 06:29:32 GMT 2021","Mon Jul 26 06:29:56 GMT 2021","23960","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Mon Jul 26 06:28:41 GMT 2021","Mon Jul 26 06:28:59 GMT 2021","17954","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
