"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 20:30:45 GMT 2021","Sun Jul 25 20:31:03 GMT 2021","17258","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Sun Jul 25 20:31:15 GMT 2021","Sun Jul 25 20:31:37 GMT 2021","21734","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 20:31:03 GMT 2021","Sun Jul 25 20:31:15 GMT 2021","11905","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 20:31:56 GMT 2021","Sun Jul 25 20:32:12 GMT 2021","15970","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 20:32:12 GMT 2021","Sun Jul 25 20:32:29 GMT 2021","16927","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Sun Jul 25 20:31:37 GMT 2021","Sun Jul 25 20:31:56 GMT 2021","18995","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Sun Jul 25 20:32:29 GMT 2021","Sun Jul 25 20:32:51 GMT 2021","21947","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Sun Jul 25 20:32:51 GMT 2021","Sun Jul 25 20:33:11 GMT 2021","19935","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
