"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 17:14:09 GMT 2021","Sun Jul 25 17:14:11 GMT 2021","1808","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Sun Jul 25 17:14:05 GMT 2021","Sun Jul 25 17:14:07 GMT 2021","1860","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"broken","Sun Jul 25 17:13:47 GMT 2021","Sun Jul 25 17:13:59 GMT 2021","12243","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Sun Jul 25 17:14:11 GMT 2021","Sun Jul 25 17:14:19 GMT 2021","8206","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Sun Jul 25 17:14:01 GMT 2021","Sun Jul 25 17:14:03 GMT 2021","1989","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 17:13:59 GMT 2021","Sun Jul 25 17:14:01 GMT 2021","1911","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 17:14:07 GMT 2021","Sun Jul 25 17:14:09 GMT 2021","1816","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Sun Jul 25 17:14:03 GMT 2021","Sun Jul 25 17:14:05 GMT 2021","1825","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
