"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 21:29:09 GMT 2021","Sun Jul 25 21:29:27 GMT 2021","18219","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Sun Jul 25 21:30:29 GMT 2021","Sun Jul 25 21:30:53 GMT 2021","24457","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Sun Jul 25 21:30:53 GMT 2021","Sun Jul 25 21:31:31 GMT 2021","37469","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Sun Jul 25 21:29:27 GMT 2021","Sun Jul 25 21:30:29 GMT 2021","61161","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Sun Jul 25 21:32:43 GMT 2021","Sun Jul 25 21:33:38 GMT 2021","55208","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Sun Jul 25 21:31:47 GMT 2021","Sun Jul 25 21:32:07 GMT 2021","19102","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Sun Jul 25 21:31:31 GMT 2021","Sun Jul 25 21:31:47 GMT 2021","16940","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 21:32:07 GMT 2021","Sun Jul 25 21:32:43 GMT 2021","36242","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
