"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 21:56:05 GMT 2021","Sun Jul 25 21:56:44 GMT 2021","39111","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Sun Jul 25 22:00:00 GMT 2021","Sun Jul 25 22:00:54 GMT 2021","53919","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Sun Jul 25 21:59:05 GMT 2021","Sun Jul 25 21:59:24 GMT 2021","19045","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Sun Jul 25 21:58:10 GMT 2021","Sun Jul 25 21:58:48 GMT 2021","37395","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Sun Jul 25 21:59:24 GMT 2021","Sun Jul 25 22:00:00 GMT 2021","36123","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Sun Jul 25 21:57:45 GMT 2021","Sun Jul 25 21:58:10 GMT 2021","25355","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 21:58:48 GMT 2021","Sun Jul 25 21:59:05 GMT 2021","16882","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 21:56:44 GMT 2021","Sun Jul 25 21:57:45 GMT 2021","60522","exam_masterpiece","test_ts1_registration","","","","test_registration",""
