"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 07:46:32 GMT 2021","Mon Jul 26 07:47:09 GMT 2021","37375","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Mon Jul 26 07:47:09 GMT 2021","Mon Jul 26 07:47:26 GMT 2021","16892","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"broken","Mon Jul 26 07:44:50 GMT 2021","Mon Jul 26 07:45:07 GMT 2021","16937","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Mon Jul 26 07:45:07 GMT 2021","Mon Jul 26 07:46:08 GMT 2021","60847","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 07:46:08 GMT 2021","Mon Jul 26 07:46:32 GMT 2021","24373","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 07:48:20 GMT 2021","Mon Jul 26 07:49:15 GMT 2021","54927","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Mon Jul 26 07:47:44 GMT 2021","Mon Jul 26 07:48:20 GMT 2021","36144","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 07:47:26 GMT 2021","Mon Jul 26 07:47:44 GMT 2021","18062","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
