"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 07:21:19 GMT 2021","Mon Jul 26 07:21:40 GMT 2021","20975","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Mon Jul 26 07:20:55 GMT 2021","Mon Jul 26 07:21:19 GMT 2021","24091","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Mon Jul 26 07:19:26 GMT 2021","Mon Jul 26 07:19:39 GMT 2021","12767","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 07:19:39 GMT 2021","Mon Jul 26 07:19:50 GMT 2021","11749","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 07:20:37 GMT 2021","Mon Jul 26 07:20:55 GMT 2021","17193","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 07:20:02 GMT 2021","Mon Jul 26 07:20:21 GMT 2021","19102","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Mon Jul 26 07:19:50 GMT 2021","Mon Jul 26 07:20:02 GMT 2021","11654","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Mon Jul 26 07:20:21 GMT 2021","Mon Jul 26 07:20:37 GMT 2021","16080","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
