"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 19:24:12 GMT 2021","Sun Jul 25 19:24:22 GMT 2021","9894","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Sun Jul 25 19:23:34 GMT 2021","Sun Jul 25 19:23:38 GMT 2021","3497","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 19:24:01 GMT 2021","Sun Jul 25 19:24:12 GMT 2021","10920","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Sun Jul 25 19:23:41 GMT 2021","Sun Jul 25 19:23:45 GMT 2021","3610","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Sun Jul 25 19:23:38 GMT 2021","Sun Jul 25 19:23:41 GMT 2021","3550","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 19:23:29 GMT 2021","Sun Jul 25 19:23:34 GMT 2021","4643","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Sun Jul 25 19:23:45 GMT 2021","Sun Jul 25 19:23:52 GMT 2021","6924","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 19:23:52 GMT 2021","Sun Jul 25 19:24:01 GMT 2021","8881","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
