"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 20:00:23 GMT 2021","Sun Jul 25 20:00:28 GMT 2021","5668","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"broken","Sun Jul 25 20:01:00 GMT 2021","Sun Jul 25 20:01:12 GMT 2021","12042","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Sun Jul 25 20:00:36 GMT 2021","Sun Jul 25 20:00:45 GMT 2021","8995","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Sun Jul 25 20:00:17 GMT 2021","Sun Jul 25 20:00:23 GMT 2021","5718","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Sun Jul 25 20:00:28 GMT 2021","Sun Jul 25 20:00:36 GMT 2021","7366","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"broken","Sun Jul 25 20:00:45 GMT 2021","Sun Jul 25 20:01:00 GMT 2021","15199","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Sun Jul 25 19:59:59 GMT 2021","Sun Jul 25 20:00:10 GMT 2021","10969","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Sun Jul 25 20:00:10 GMT 2021","Sun Jul 25 20:00:17 GMT 2021","6693","exam_masterpiece","test_ts1_registration","","","","test_registration",""
