"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 08:11:35 GMT 2021","Mon Jul 26 08:11:54 GMT 2021","19300","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 08:09:00 GMT 2021","Mon Jul 26 08:09:13 GMT 2021","12798","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Mon Jul 26 08:11:54 GMT 2021","Mon Jul 26 08:12:30 GMT 2021","36407","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 08:12:30 GMT 2021","Mon Jul 26 08:13:26 GMT 2021","55449","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Mon Jul 26 08:09:13 GMT 2021","Mon Jul 26 08:10:14 GMT 2021","61024","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 08:10:14 GMT 2021","Mon Jul 26 08:10:40 GMT 2021","25605","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Mon Jul 26 08:11:18 GMT 2021","Mon Jul 26 08:11:35 GMT 2021","17089","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 08:10:40 GMT 2021","Mon Jul 26 08:11:18 GMT 2021","37722","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
