"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 13:24:58 GMT 2021","Mon Jul 26 13:25:30 GMT 2021","32319","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 13:27:34 GMT 2021","Mon Jul 26 13:27:51 GMT 2021","16891","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 13:28:45 GMT 2021","Mon Jul 26 13:29:39 GMT 2021","54166","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Mon Jul 26 13:28:10 GMT 2021","Mon Jul 26 13:28:45 GMT 2021","35238","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 13:26:31 GMT 2021","Mon Jul 26 13:26:56 GMT 2021","25450","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 13:25:30 GMT 2021","Mon Jul 26 13:26:31 GMT 2021","60705","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 13:26:56 GMT 2021","Mon Jul 26 13:27:34 GMT 2021","37544","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 13:27:51 GMT 2021","Mon Jul 26 13:28:10 GMT 2021","19126","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
