"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 08:01:55 GMT 2021","Mon Jul 26 08:02:08 GMT 2021","12743","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 08:02:08 GMT 2021","Mon Jul 26 08:02:20 GMT 2021","11611","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Mon Jul 26 08:03:57 GMT 2021","Mon Jul 26 08:04:18 GMT 2021","20992","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Mon Jul 26 08:03:16 GMT 2021","Mon Jul 26 08:03:33 GMT 2021","16938","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 08:03:00 GMT 2021","Mon Jul 26 08:03:16 GMT 2021","15946","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 08:02:20 GMT 2021","Mon Jul 26 08:02:41 GMT 2021","21430","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Mon Jul 26 08:03:33 GMT 2021","Mon Jul 26 08:03:57 GMT 2021","23933","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"broken","Mon Jul 26 08:02:41 GMT 2021","Mon Jul 26 08:03:00 GMT 2021","18970","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
