"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 07:20:12 GMT 2021","Mon Jul 26 07:20:36 GMT 2021","23966","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 07:19:55 GMT 2021","Mon Jul 26 07:20:12 GMT 2021","16985","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"broken","Mon Jul 26 07:18:46 GMT 2021","Mon Jul 26 07:18:58 GMT 2021","11617","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Mon Jul 26 07:19:20 GMT 2021","Mon Jul 26 07:19:39 GMT 2021","18982","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 07:18:58 GMT 2021","Mon Jul 26 07:19:20 GMT 2021","22013","exam_masterpiece","test_ts2_login","","","","test_login",""
"broken","Mon Jul 26 07:19:39 GMT 2021","Mon Jul 26 07:19:55 GMT 2021","15972","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"broken","Mon Jul 26 07:20:36 GMT 2021","Mon Jul 26 07:20:57 GMT 2021","20942","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"broken","Mon Jul 26 07:18:27 GMT 2021","Mon Jul 26 07:18:46 GMT 2021","18567","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
