"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 25 21:02:30 GMT 2021","Sun Jul 25 21:02:54 GMT 2021","24408","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Sun Jul 25 21:04:08 GMT 2021","Sun Jul 25 21:04:44 GMT 2021","36198","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Sun Jul 25 21:04:44 GMT 2021","Sun Jul 25 21:05:39 GMT 2021","55102","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Sun Jul 25 21:02:54 GMT 2021","Sun Jul 25 21:03:32 GMT 2021","37486","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Sun Jul 25 21:03:49 GMT 2021","Sun Jul 25 21:04:08 GMT 2021","19141","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Sun Jul 25 21:01:29 GMT 2021","Sun Jul 25 21:02:30 GMT 2021","61085","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 21:01:12 GMT 2021","Sun Jul 25 21:01:29 GMT 2021","16184","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Sun Jul 25 21:03:32 GMT 2021","Sun Jul 25 21:03:49 GMT 2021","16944","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
