"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 25 21:16:15 GMT 2021","Sun Jul 25 21:16:31 GMT 2021","15977","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Sun Jul 25 21:16:31 GMT 2021","Sun Jul 25 21:16:51 GMT 2021","19163","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Sun Jul 25 21:16:51 GMT 2021","Sun Jul 25 21:17:26 GMT 2021","35248","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Sun Jul 25 21:17:26 GMT 2021","Sun Jul 25 21:18:21 GMT 2021","55253","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Sun Jul 25 21:15:38 GMT 2021","Sun Jul 25 21:16:15 GMT 2021","37557","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Sun Jul 25 21:14:12 GMT 2021","Sun Jul 25 21:15:13 GMT 2021","61203","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"broken","Sun Jul 25 21:13:51 GMT 2021","Sun Jul 25 21:14:12 GMT 2021","20890","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Sun Jul 25 21:15:13 GMT 2021","Sun Jul 25 21:15:38 GMT 2021","24555","exam_masterpiece","test_ts2_login","","","","test_login",""
