"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 26 13:46:32 GMT 2021","Mon Jul 26 13:47:10 GMT 2021","38791","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"broken","Mon Jul 26 13:49:13 GMT 2021","Mon Jul 26 13:49:13 GMT 2021","0","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 13:48:37 GMT 2021","Mon Jul 26 13:49:13 GMT 2021","36469","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 13:49:13 GMT 2021","Mon Jul 26 13:49:32 GMT 2021","19093","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Mon Jul 26 13:47:10 GMT 2021","Mon Jul 26 13:48:11 GMT 2021","60725","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 13:50:08 GMT 2021","Mon Jul 26 13:51:02 GMT 2021","54047","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
"passed","Mon Jul 26 13:48:11 GMT 2021","Mon Jul 26 13:48:37 GMT 2021","25442","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 13:49:32 GMT 2021","Mon Jul 26 13:50:08 GMT 2021","36195","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
