"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Jul 26 13:02:22 GMT 2021","Mon Jul 26 13:02:39 GMT 2021","17019","exam_masterpiece","test_ts4_add_database_articles","","","","test_add_database_articles",""
"passed","Mon Jul 26 12:59:46 GMT 2021","Mon Jul 26 13:00:18 GMT 2021","32277","exam_masterpiece","test_ts0_cookies","","","","test_cookies",""
"passed","Mon Jul 26 13:02:39 GMT 2021","Mon Jul 26 13:02:59 GMT 2021","19346","exam_masterpiece","test_ts5_paging_feedlist","","","","test_paging_feedlist",""
"passed","Mon Jul 26 13:01:19 GMT 2021","Mon Jul 26 13:01:45 GMT 2021","25467","exam_masterpiece","test_ts2_login","","","","test_login",""
"passed","Mon Jul 26 13:01:45 GMT 2021","Mon Jul 26 13:02:22 GMT 2021","37465","exam_masterpiece","test_ts3_add_del_article","","","","test_add_del_article",""
"passed","Mon Jul 26 13:02:59 GMT 2021","Mon Jul 26 13:03:35 GMT 2021","36359","exam_masterpiece","test_ts6_favorite_feed_list","","","","test_favorite_feed_list",""
"passed","Mon Jul 26 13:00:18 GMT 2021","Mon Jul 26 13:01:19 GMT 2021","60945","exam_masterpiece","test_ts1_registration","","","","test_registration",""
"passed","Mon Jul 26 13:03:35 GMT 2021","Mon Jul 26 13:04:30 GMT 2021","55250","exam_masterpiece","test_ts7_modify_settings","","","","test_modify_settings",""
